category,product_name,competitor_name,price,source
Makanan Berat,Ayam Geprek,Toko Kompetitor 637,31391,synthetic
Makanan Berat,Ayam Geprek,Toko Kompetitor 938,40284,synthetic
Makanan Berat,Ayam Geprek,Toko Kompetitor 363,35859,synthetic
Makanan Berat,Nasi Goreng Seafood,Toko Kompetitor 908,32425,synthetic
Makanan Berat,Nasi Goreng Seafood,Toko Kompetitor 334,39641,synthetic
Makanan Berat,Nasi Goreng Seafood,Toko Kompetitor 729,30979,synthetic
Makanan Berat,Nasi Goreng Seafood,Toko Kompetitor 858,42958,synthetic
Makanan Berat,Nasi Goreng Seafood,Toko Kompetitor 870,35987,synthetic
Makanan Berat,Mie Gacoan,Toko Kompetitor 675,40895,synthetic
Makanan Berat,Mie Gacoan,Toko Kompetitor 519,25180,synthetic
Makanan Berat,Mie Gacoan,Toko Kompetitor 935,37796,synthetic
Makanan Berat,Sushi Roll,Toko Kompetitor 881,27844,synthetic
Makanan Berat,Sushi Roll,Toko Kompetitor 153,37628,synthetic
Makanan Berat,Sushi Roll,Toko Kompetitor 211,40575,synthetic
Makanan Berat,Burger Wagyu,Toko Kompetitor 838,32613,synthetic
Makanan Berat,Burger Wagyu,Toko Kompetitor 531,47682,synthetic
Makanan Berat,Burger Wagyu,Toko Kompetitor 704,44903,synthetic
Makanan Berat,Burger Wagyu,Toko Kompetitor 343,49823,synthetic
Makanan Berat,Burger Wagyu,Toko Kompetitor 839,21640,synthetic
Makanan Berat,Soto Betawi,Toko Kompetitor 155,42944,synthetic
Makanan Berat,Soto Betawi,Toko Kompetitor 417,35308,synthetic
Makanan Berat,Soto Betawi,Toko Kompetitor 483,28278,synthetic
Makanan Ringan,Keripik Singkong Pedas,Toko Kompetitor 378,22341,synthetic
Makanan Ringan,Keripik Singkong Pedas,Toko Kompetitor 623,15282,synthetic
Makanan Ringan,Keripik Singkong Pedas,Toko Kompetitor 244,10562,synthetic
Makanan Ringan,Keripik Singkong Pedas,Toko Kompetitor 769,22653,synthetic
Makanan Ringan,Keripik Singkong Pedas,Toko Kompetitor 291,10462,synthetic
Makanan Ringan,Basreng,Toko Kompetitor 189,10915,synthetic
Makanan Ringan,Basreng,Toko Kompetitor 564,19839,synthetic
Makanan Ringan,Basreng,Toko Kompetitor 247,19367,synthetic
Makanan Ringan,Basreng,Toko Kompetitor 287,10204,synthetic
Makanan Ringan,Basreng,Toko Kompetitor 739,11902,synthetic
Makanan Ringan,Makaroni Bantet,Toko Kompetitor 749,23678,synthetic
Makanan Ringan,Makaroni Bantet,Toko Kompetitor 500,24882,synthetic
Makanan Ringan,Makaroni Bantet,Toko Kompetitor 212,19926,synthetic
Makanan Ringan,Makaroni Bantet,Toko Kompetitor 119,5595,synthetic
Makanan Ringan,Roti Bakar Cokelat,Toko Kompetitor 205,20170,synthetic
Makanan Ringan,Roti Bakar Cokelat,Toko Kompetitor 265,18702,synthetic
Makanan Ringan,Roti Bakar Cokelat,Toko Kompetitor 460,18185,synthetic
Makanan Ringan,Kue Cubit,Toko Kompetitor 154,8121,synthetic
Makanan Ringan,Kue Cubit,Toko Kompetitor 618,7600,synthetic
Makanan Ringan,Kue Cubit,Toko Kompetitor 805,17763,synthetic
Makanan Ringan,Kue Cubit,Toko Kompetitor 663,22957,synthetic
Makanan Ringan,Cireng Isi,Toko Kompetitor 330,21013,synthetic
Makanan Ringan,Cireng Isi,Toko Kompetitor 475,10331,synthetic
Makanan Ringan,Cireng Isi,Toko Kompetitor 275,16901,synthetic
Aksesoris,Jam Tangan Minimalis,Toko Kompetitor 863,72101,synthetic
Aksesoris,Jam Tangan Minimalis,Toko Kompetitor 773,149228,synthetic
Aksesoris,Jam Tangan Minimalis,Toko Kompetitor 450,169024,synthetic
Aksesoris,Kalung Titanium,Toko Kompetitor 741,172538,synthetic
Aksesoris,Kalung Titanium,Toko Kompetitor 599,69653,synthetic
Aksesoris,Kalung Titanium,Toko Kompetitor 134,113333,synthetic
Aksesoris,Gelang Etnik,Toko Kompetitor 125,196210,synthetic
Aksesoris,Gelang Etnik,Toko Kompetitor 899,278985,synthetic
Aksesoris,Gelang Etnik,Toko Kompetitor 653,97303,synthetic
Aksesoris,Gelang Etnik,Toko Kompetitor 909,278655,synthetic
Aksesoris,Gelang Etnik,Toko Kompetitor 870,112350,synthetic
Aksesoris,Dompet Kulit,Toko Kompetitor 871,271914,synthetic
Aksesoris,Dompet Kulit,Toko Kompetitor 108,101957,synthetic
Aksesoris,Dompet Kulit,Toko Kompetitor 819,192307,synthetic
Aksesoris,Dompet Kulit,Toko Kompetitor 856,57165,synthetic
Aksesoris,Kacamata UV,Toko Kompetitor 136,208411,synthetic
Aksesoris,Kacamata UV,Toko Kompetitor 397,270595,synthetic
Aksesoris,Kacamata UV,Toko Kompetitor 481,86453,synthetic
Aksesoris,Topi Baseball,Toko Kompetitor 142,102042,synthetic
Aksesoris,Topi Baseball,Toko Kompetitor 352,272882,synthetic
Aksesoris,Topi Baseball,Toko Kompetitor 192,299225,synthetic
Aksesoris,Topi Baseball,Toko Kompetitor 955,127603,synthetic
Aksesoris,Topi Baseball,Toko Kompetitor 444,261652,synthetic
